Facultad,Carrera,ID_Estudiante,Brigada,Semestre,Respeto a los horarios,Disponibilidad de aulas,Facilidad para el E.I.,Bibliografía/Internet,Carga de trabajo,Ocio
MATCOM,Matemática,MATCOM-MAT-0037,MA1,2025-2,7,6,7,7,9,4
MATCOM,Matemática,MATCOM-MAT-0038,MA8,2025-2,6,5,6,5,7,6
MATCOM,Matemática,MATCOM-MAT-0039,MA2,2025-2,5,6,5,6,4,5
MATCOM,Matemática,MATCOM-MAT-0040,MA5,2025-2,8,7,5,9,8,9
MATCOM,Matemática,MATCOM-MAT-0041,MA5,2025-2,7,6,9,8,4,4
MATCOM,Matemática,MATCOM-MAT-0042,MA1,2025-2,8,6,9,6,8,6
MATCOM,Matemática,MATCOM-MAT-0043,MA1,2025-2,8,6,6,5,4,8
MATCOM,Matemática,MATCOM-MAT-0044,MA1,2025-2,7,8,9,7,8,8
MATCOM,Matemática,MATCOM-MAT-0045,MA3,2025-2,5,6,5,9,7,5
MATCOM,Matemática,MATCOM-MAT-0046,MA1,2025-2,8,4,5,4,6,6
MATCOM,Matemática,MATCOM-MAT-0047,MA3,2025-2,7,8,7,7,8,6
MATCOM,Matemática,MATCOM-MAT-0048,MA7,2025-2,8,7,8,5,5,4
MATCOM,Matemática,MATCOM-MAT-0049,MA6,2025-2,7,7,7,4,8,7
MATCOM,Matemática,MATCOM-MAT-0050,MA1,2025-2,8,6,7,8,9,5
MATCOM,Matemática,MATCOM-MAT-0051,MA8,2025-2,8,8,4,4,7,6
MATCOM,Matemática,MATCOM-MAT-0052,MA3,2025-2,7,6,7,6,7,5
MATCOM,Matemática,MATCOM-MAT-0053,MA4,2025-2,6,8,6,7,5,5
MATCOM,Matemática,MATCOM-MAT-0054,MA3,2025-2,8,6,6,4,7,7
MATCOM,Matemática,MATCOM-MAT-0055,MA2,2025-2,5,6,6,4,6,7
MATCOM,Matemática,MATCOM-MAT-0056,MA8,2025-2,8,9,4,5,8,8
MATCOM,Matemática,MATCOM-MAT-0057,MA4,2025-2,5,6,6,7,6,6
MATCOM,Matemática,MATCOM-MAT-0058,MA8,2025-2,5,7,8,8,4,8
MATCOM,Matemática,MATCOM-MAT-0059,MA6,2025-2,7,5,5,6,4,6
MATCOM,Matemática,MATCOM-MAT-0060,MA7,2025-2,4,7,5,6,6,6
MATCOM,Matemática,MATCOM-MAT-0061,MA9,2025-2,6,4,7,7,8,6
MATCOM,Matemática,MATCOM-MAT-0062,MA3,2025-2,6,6,8,7,5,6
MATCOM,Matemática,MATCOM-MAT-0063,MA6,2025-2,7,5,5,5,5,5
MATCOM,Matemática,MATCOM-MAT-0064,MA8,2025-2,8,4,7,6,9,5
MATCOM,Matemática,MATCOM-MAT-0065,MA2,2025-2,7,9,4,9,6,8
MATCOM,Matemática,MATCOM-MAT-0066,MA9,2025-2,8,7,6,8,5,9
MATCOM,Matemática,MATCOM-MAT-0067,MA4,2025-2,6,7,5,5,7,5
MATCOM,Matemática,MATCOM-MAT-0068,MA5,2025-2,7,9,6,7,6,6
MATCOM,Matemática,MATCOM-MAT-0069,MA5,2025-2,4,9,6,8,5,7
MATCOM,Matemática,MATCOM-MAT-0070,MA1,2025-2,5,6,7,8,5,8
MATCOM,Matemática,MATCOM-MAT-0071,MA2,2025-2,5,8,9,5,4,8
MATCOM,Matemática,MATCOM-MAT-0072,MA6,2025-2,4,8,8,8,8,8
MATCOM,Matemática,MATCOM-MAT-0073,MA5,2025-2,8,7,7,6,8,6
MATCOM,Matemática,MATCOM-MAT-0074,MA8,2025-2,6,8,8,7,7,6
MATCOM,Matemática,MATCOM-MAT-0075,MA1,2025-2,5,8,6,7,9,7
MATCOM,Matemática,MATCOM-MAT-0076,MA3,2025-2,6,6,8,7,5,8
MATCOM,Matemática,MATCOM-MAT-0077,MA1,2025-2,7,8,8,5,6,5
MATCOM,Matemática,MATCOM-MAT-0078,MA7,2025-2,5,5,8,6,8,5
MATCOM,Matemática,MATCOM-MAT-0079,MA4,2025-2,6,7,7,7,6,6
MATCOM,Matemática,MATCOM-MAT-0080,MA2,2025-2,4,7,7,8,7,8
MATCOM,Matemática,MATCOM-MAT-0081,MA8,2025-2,7,6,6,9,5,7
MATCOM,Matemática,MATCOM-MAT-0082,MA2,2025-2,7,4,8,9,7,7
MATCOM,Matemática,MATCOM-MAT-0083,MA8,2025-2,4,7,8,6,4,4
MATCOM,Matemática,MATCOM-MAT-0084,MA8,2025-2,8,9,5,5,5,5
MATCOM,Matemática,MATCOM-MAT-0085,MA7,2025-2,9,8,7,7,6,4
MATCOM,Matemática,MATCOM-MAT-0086,MA9,2025-2,5,8,7,5,6,8
MATCOM,Matemática,MATCOM-MAT-0087,MA6,2025-2,6,6,8,6,5,6
MATCOM,Matemática,MATCOM-MAT-0088,MA3,2025-2,5,7,5,4,6,8
MATCOM,Matemática,MATCOM-MAT-0089,MA6,2025-2,5,5,7,9,6,7
MATCOM,Matemática,MATCOM-MAT-0090,MA6,2025-2,4,9,7,7,4,8
MATCOM,Matemática,MATCOM-MAT-0091,MA8,2025-2,8,5,5,4,6,7
MATCOM,Matemática,MATCOM-MAT-0092,MA2,2025-2,5,8,7,7,6,6
MATCOM,Matemática,MATCOM-MAT-0093,MA3,2025-2,5,5,8,9,6,5
MATCOM,Matemática,MATCOM-MAT-0094,MA2,2025-2,6,4,5,8,7,4
MATCOM,Matemática,MATCOM-MAT-0095,MA7,2025-2,5,5,7,7,6,7
MATCOM,Matemática,MATCOM-MAT-0096,MA3,2025-2,7,5,4,5,8,8
MATCOM,Matemática,MATCOM-MAT-0097,MA4,2025-2,9,5,6,6,4,7
MATCOM,Matemática,MATCOM-MAT-0098,MA1,2025-2,5,4,5,7,6,8
MATCOM,Matemática,MATCOM-MAT-0099,MA5,2025-2,6,5,6,7,5,7
MATCOM,Matemática,MATCOM-MAT-0100,MA6,2025-2,8,6,8,5,9,8
MATCOM,Matemática,MATCOM-MAT-0101,MA1,2025-2,8,6,8,8,6,4
MATCOM,Matemática,MATCOM-MAT-0102,MA9,2025-2,7,7,5,5,8,9
MATCOM,Matemática,MATCOM-MAT-0103,MA2,2025-2,5,4,9,5,7,5
MATCOM,Matemática,MATCOM-MAT-0104,MA1,2025-2,6,6,8,5,5,5
MATCOM,Matemática,MATCOM-MAT-0105,MA6,2025-2,8,5,7,6,7,8
MATCOM,Matemática,MATCOM-MAT-0106,MA5,2025-2,6,7,4,5,8,4
MATCOM,Matemática,MATCOM-MAT-0107,MA4,2025-2,8,4,8,6,9,8
MATCOM,Ciencias de la Computación,MATCOM-CIE-0001,MA8,2025-2,7,6,7,9,8,5
MATCOM,Ciencias de la Computación,MATCOM-CIE-0002,MA4,2025-2,7,5,8,8,9,5
MATCOM,Ciencias de la Computación,MATCOM-CIE-0003,MA9,2025-2,8,5,4,8,6,7
MATCOM,Ciencias de la Computación,MATCOM-CIE-0004,MA9,2025-2,5,8,8,7,5,7
MATCOM,Ciencias de la Computación,MATCOM-CIE-0005,MA3,2025-2,6,8,9,8,7,7
MATCOM,Ciencias de la Computación,MATCOM-CIE-0006,MA8,2025-2,8,7,8,8,7,9
MATCOM,Ciencias de la Computación,MATCOM-CIE-0007,MA2,2025-2,6,5,9,9,4,8
MATCOM,Ciencias de la Computación,MATCOM-CIE-0008,MA7,2025-2,9,7,6,6,5,8
MATCOM,Ciencias de la Computación,MATCOM-CIE-0009,MA3,2025-2,9,9,9,6,8,8
MATCOM,Ciencias de la Computación,MATCOM-CIE-0010,MA2,2025-2,7,7,7,6,7,6
MATCOM,Ciencias de la Computación,MATCOM-CIE-0011,MA3,2025-2,7,6,8,4,6,7
MATCOM,Ciencias de la Computación,MATCOM-CIE-0012,MA6,2025-2,6,7,8,7,5,4
MATCOM,Ciencias de la Computación,MATCOM-CIE-0013,MA2,2025-2,4,8,7,9,8,9
MATCOM,Ciencias de la Computación,MATCOM-CIE-0014,MA4,2025-2,4,4,4,6,7,5
MATCOM,Ciencias de la Computación,MATCOM-CIE-0015,MA9,2025-2,8,6,6,8,5,5
MATCOM,Ciencias de la Computación,MATCOM-CIE-0016,MA8,2025-2,5,5,5,4,4,9
MATCOM,Ciencias de la Computación,MATCOM-CIE-0017,MA9,2025-2,5,6,5,9,8,5
MATCOM,Ciencias de la Computación,MATCOM-CIE-0018,MA6,2025-2,9,8,7,9,9,8
MATCOM,Ciencias de la Computación,MATCOM-CIE-0019,MA4,2025-2,5,9,7,7,7,5
MATCOM,Ciencias de la Computación,MATCOM-CIE-0020,MA2,2025-2,6,4,9,8,8,7
MATCOM,Ciencias de la Computación,MATCOM-CIE-0021,MA7,2025-2,8,9,9,5,6,8
MATCOM,Ciencias de la Computación,MATCOM-CIE-0022,MA1,2025-2,5,8,5,5,7,7
MATCOM,Ciencias de la Computación,MATCOM-CIE-0023,MA5,2025-2,4,8,5,5,8,9
MATCOM,Ciencias de la Computación,MATCOM-CIE-0024,MA9,2025-2,6,9,8,5,5,4
MATCOM,Ciencias de la Computación,MATCOM-CIE-0025,MA5,2025-2,4,7,9,5,8,9
MATCOM,Ciencias de la Computación,MATCOM-CIE-0026,MA2,2025-2,6,6,7,8,6,7
MATCOM,Ciencias de la Computación,MATCOM-CIE-0027,MA1,2025-2,8,8,7,8,8,8
MATCOM,Ciencias de la Computación,MATCOM-CIE-0028,MA9,2025-2,9,5,7,5,8,9
MATCOM,Ciencias de la Computación,MATCOM-CIE-0029,MA9,2025-2,4,8,5,6,8,5
MATCOM,Ciencias de la Computación,MATCOM-CIE-0030,MA4,2025-2,7,8,5,5,4,6
MATCOM,Ciencias de la Computación,MATCOM-CIE-0031,MA9,2025-2,7,5,7,7,8,5
MATCOM,Ciencias de la Computación,MATCOM-CIE-0032,MA7,2025-2,7,9,6,7,9,5
MATCOM,Ciencias de la Computación,MATCOM-CIE-0033,MA4,2025-2,5,8,9,5,8,8
MATCOM,Ciencias de la Computación,MATCOM-CIE-0034,MA6,2025-2,6,7,4,8,9,9
MATCOM,Ciencias de la Computación,MATCOM-CIE-0035,MA4,2025-2,7,7,6,4,8,6
MATCOM,Ciencias de la Computación,MATCOM-CIE-0036,MA3,2025-2,5,4,5,6,9,5
MATCOM,Ciencias de la Computación,MATCOM-CIE-0037,MA9,2025-2,5,8,7,5,4,7
MATCOM,Ciencias de la Computación,MATCOM-CIE-0038,MA6,2025-2,5,8,9,4,8,9
MATCOM,Ciencias de la Computación,MATCOM-CIE-0039,MA5,2025-2,7,6,5,9,6,8
MATCOM,Ciencias de la Computación,MATCOM-CIE-0040,MA2,2025-2,5,4,7,6,8,6
MATCOM,Ciencias de la Computación,MATCOM-CIE-0041,MA8,2025-2,5,5,4,5,6,7
MATCOM,Ciencias de la Computación,MATCOM-CIE-0042,MA7,2025-2,7,5,4,9,7,8
MATCOM,Ciencias de la Computación,MATCOM-CIE-0043,MA9,2025-2,4,7,7,5,7,5
MATCOM,Ciencias de la Computación,MATCOM-CIE-0044,MA6,2025-2,7,5,8,6,6,4
MATCOM,Ciencias de la Computación,MATCOM-CIE-0045,MA2,2025-2,7,6,9,8,7,8
MATCOM,Ciencias de la Computación,MATCOM-CIE-0046,MA6,2025-2,9,8,8,5,5,7
MATCOM,Ciencias de la Computación,MATCOM-CIE-0047,MA6,2025-2,7,8,7,4,6,7
MATCOM,Ciencias de la Computación,MATCOM-CIE-0048,MA1,2025-2,8,4,8,6,6,9
MATCOM,Ciencias de la Computación,MATCOM-CIE-0049,MA2,2025-2,8,4,7,9,5,8
MATCOM,Ciencias de la Computación,MATCOM-CIE-0050,MA9,2025-2,9,4,7,8,8,8
MATCOM,Ciencias de la Computación,MATCOM-CIE-0051,MA4,2025-2,6,8,4,8,7,8
MATCOM,Ciencias de la Computación,MATCOM-CIE-0052,MA3,2025-2,4,5,6,8,7,7
MATCOM,Ciencias de la Computación,MATCOM-CIE-0053,MA9,2025-2,8,5,9,6,5,8
MATCOM,Ciencias de la Computación,MATCOM-CIE-0054,MA7,2025-2,4,5,4,7,6,7
MATCOM,Ciencias de la Computación,MATCOM-CIE-0055,MA3,2025-2,4,6,5,6,5,8
MATCOM,Ciencias de la Computación,MATCOM-CIE-0056,MA1,2025-2,8,8,8,6,6,6
MATCOM,Ciencias de la Computación,MATCOM-CIE-0057,MA4,2025-2,7,7,7,7,4,6
MATCOM,Ciencias de la Computación,MATCOM-CIE-0058,MA4,2025-2,8,9,6,5,7,9
MATCOM,Ciencias de la Computación,MATCOM-CIE-0059,MA3,2025-2,7,7,8,5,8,9
MATCOM,Ciencias de la Computación,MATCOM-CIE-0060,MA7,2025-2,7,6,7,6,4,6
MATCOM,Ciencias de la Computación,MATCOM-CIE-0061,MA6,2025-2,8,6,7,6,7,5
MATCOM,Ciencias de la Computación,MATCOM-CIE-0062,MA9,2025-2,9,5,7,6,8,5
MATCOM,Ciencias de la Computación,MATCOM-CIE-0063,MA7,2025-2,6,5,4,5,7,6
MATCOM,Ciencias de la Computación,MATCOM-CIE-0064,MA9,2025-2,6,5,7,8,5,5
MATCOM,Ciencias de la Computación,MATCOM-CIE-0065,MA9,2025-2,7,6,7,8,8,6
MATCOM,Ciencias de la Computación,MATCOM-CIE-0066,MA6,2025-2,5,5,5,4,7,9
MATCOM,Ciencias de la Computación,MATCOM-CIE-0067,MA1,2025-2,5,6,9,6,7,4
MATCOM,Ciencias de la Computación,MATCOM-CIE-0068,MA4,2025-2,9,9,4,9,7,8
MATCOM,Ciencias de la Computación,MATCOM-CIE-0069,MA8,2025-2,7,6,7,5,4,6
MATCOM,Ciencias de la Computación,MATCOM-CIE-0070,MA2,2025-2,5,7,9,4,7,6
MATCOM,Ciencias de la Computación,MATCOM-CIE-0071,MA5,2025-2,9,5,7,9,6,4
MATCOM,Ciencias de la Computación,MATCOM-CIE-0072,MA2,2025-2,7,8,7,4,9,7
MATCOM,Ciencias de la Computación,MATCOM-CIE-0073,MA1,2025-2,7,9,8,7,7,6
MATCOM,Ciencias de la Computación,MATCOM-CIE-0074,MA2,2025-2,9,4,9,6,8,8
MATCOM,Ciencias de la Computación,MATCOM-CIE-0075,MA9,2025-2,5,7,8,9,6,9
MATCOM,Ciencias de la Computación,MATCOM-CIE-0076,MA9,2025-2,6,8,6,5,7,6
MATCOM,Ciencias de la Computación,MATCOM-CIE-0077,MA1,2025-2,6,6,7,6,6,5
MATCOM,Ciencias de la Computación,MATCOM-CIE-0078,MA1,2025-2,6,4,7,5,7,8
MATCOM,Ciencias de la Computación,MATCOM-CIE-0079,MA9,2025-2,6,8,7,6,4,6
MATCOM,Ciencias de la Computación,MATCOM-CIE-0080,MA5,2025-2,6,7,7,7,8,8
MATCOM,Ciencias de la Computación,MATCOM-CIE-0081,MA2,2025-2,8,7,8,6,8,4
MATCOM,Ciencias de la Computación,MATCOM-CIE-0082,MA9,2025-2,7,6,5,6,5,5
MATCOM,Ciencias de la Computación,MATCOM-CIE-0083,MA4,2025-2,5,5,6,8,7,6
MATCOM,Ciencias de la Computación,MATCOM-CIE-0084,MA4,2025-2,8,6,9,8,7,5
MATCOM,Ciencias de la Computación,MATCOM-CIE-0085,MA7,2025-2,7,8,5,7,5,9
MATCOM,Ciencias de la Computación,MATCOM-CIE-0086,MA4,2025-2,4,8,6,7,5,4
MATCOM,Ciencias de la Computación,MATCOM-CIE-0087,MA6,2025-2,8,8,5,5,7,6
MATCOM,Ciencias de la Computación,MATCOM-CIE-0088,MA8,2025-2,8,7,5,6,8,8
MATCOM,Ciencias de la Computación,MATCOM-CIE-0089,MA7,2025-2,7,4,7,6,7,5
MATCOM,Ciencias de la Computación,MATCOM-CIE-0090,MA3,2025-2,8,6,7,5,6,5
MATCOM,Ciencias de la Computación,MATCOM-CIE-0091,MA7,2025-2,7,5,6,7,6,9
MATCOM,Ciencias de la Computación,MATCOM-CIE-0092,MA3,2025-2,7,7,6,6,8,4
MATCOM,Ciencias de la Computación,MATCOM-CIE-0093,MA8,2025-2,5,5,8,7,5,4
MATCOM,Ciencias de la Computación,MATCOM-CIE-0094,MA8,2025-2,7,7,6,6,6,7
MATCOM,Ciencias de la Computación,MATCOM-CIE-0095,MA1,2025-2,8,7,4,7,5,7
MATCOM,Ciencias de la Computación,MATCOM-CIE-0096,MA3,2025-2,7,6,6,7,9,7
MATCOM,Ciencias de la Computación,MATCOM-CIE-0097,MA1,2025-2,9,6,6,7,4,9
MATCOM,Ciencias de la Computación,MATCOM-CIE-0098,MA9,2025-2,5,6,6,8,4,6
MATCOM,Ciencias de la Computación,MATCOM-CIE-0099,MA8,2025-2,8,9,5,6,5,9
MATCOM,Ciencias de la Computación,MATCOM-CIE-0100,MA8,2025-2,8,5,7,4,5,8
MATCOM,Ciencias de la Computación,MATCOM-CIE-0101,MA1,2025-2,7,7,5,4,5,5
MATCOM,Ciencias de la Computación,MATCOM-CIE-0102,MA2,2025-2,6,6,5,7,8,5
MATCOM,Ciencias de la Computación,MATCOM-CIE-0103,MA4,2025-2,8,5,8,7,7,6
MATCOM,Ciencias de la Computación,MATCOM-CIE-0104,MA1,2025-2,5,8,6,8,8,8
MATCOM,Ciencias de la Computación,MATCOM-CIE-0105,MA7,2025-2,6,4,6,5,7,6
MATCOM,Ciencias de la Computación,MATCOM-CIE-0106,MA4,2025-2,7,9,7,6,6,7
MATCOM,Ciencias de la Computación,MATCOM-CIE-0107,MA1,2025-2,7,8,5,7,6,5
MATCOM,Ciencia de Datos,MATCOM-CIE-0001,MA5,2025-2,5,6,7,5,4,8
MATCOM,Ciencia de Datos,MATCOM-CIE-0002,MA4,2025-2,6,5,7,5,7,7
MATCOM,Ciencia de Datos,MATCOM-CIE-0003,MA3,2025-2,6,7,5,5,6,8
MATCOM,Ciencia de Datos,MATCOM-CIE-0004,MA8,2025-2,5,6,5,4,8,5
MATCOM,Ciencia de Datos,MATCOM-CIE-0005,MA7,2025-2,7,4,7,9,8,7
MATCOM,Ciencia de Datos,MATCOM-CIE-0006,MA4,2025-2,5,7,8,8,8,6
MATCOM,Ciencia de Datos,MATCOM-CIE-0007,MA3,2025-2,6,6,8,8,8,4
MATCOM,Ciencia de Datos,MATCOM-CIE-0008,MA2,2025-2,5,6,8,7,7,5
MATCOM,Ciencia de Datos,MATCOM-CIE-0009,MA5,2025-2,5,4,5,9,8,9
MATCOM,Ciencia de Datos,MATCOM-CIE-0010,MA4,2025-2,6,5,7,6,5,5
MATCOM,Ciencia de Datos,MATCOM-CIE-0011,MA4,2025-2,8,5,7,8,7,8
MATCOM,Ciencia de Datos,MATCOM-CIE-0012,MA5,2025-2,9,5,5,7,9,8
MATCOM,Ciencia de Datos,MATCOM-CIE-0013,MA1,2025-2,8,4,9,6,7,7
MATCOM,Ciencia de Datos,MATCOM-CIE-0014,MA6,2025-2,7,7,4,7,5,8
MATCOM,Ciencia de Datos,MATCOM-CIE-0015,MA1,2025-2,6,4,4,8,7,8
MATCOM,Ciencia de Datos,MATCOM-CIE-0016,MA3,2025-2,4,9,8,6,5,6
MATCOM,Ciencia de Datos,MATCOM-CIE-0017,MA3,2025-2,7,5,5,4,7,8
MATCOM,Ciencia de Datos,MATCOM-CIE-0018,MA6,2025-2,4,7,8,8,5,9
MATCOM,Ciencia de Datos,MATCOM-CIE-0019,MA2,2025-2,4,5,5,4,9,6
MATCOM,Ciencia de Datos,MATCOM-CIE-0020,MA2,2025-2,6,5,6,5,6,9
MATCOM,Ciencia de Datos,MATCOM-CIE-0021,MA2,2025-2,5,6,9,5,6,6
MATCOM,Ciencia de Datos,MATCOM-CIE-0022,MA9,2025-2,5,5,9,7,6,4
MATCOM,Ciencia de Datos,MATCOM-CIE-0023,MA5,2025-2,5,8,8,8,9,5
MATCOM,Ciencia de Datos,MATCOM-CIE-0024,MA5,2025-2,9,8,7,5,4,6
MATCOM,Ciencia de Datos,MATCOM-CIE-0025,MA6,2025-2,9,9,4,5,5,8
MATCOM,Ciencia de Datos,MATCOM-CIE-0026,MA2,2025-2,5,7,8,8,7,7
MATCOM,Ciencia de Datos,MATCOM-CIE-0027,MA8,2025-2,7,5,5,4,7,8
MATCOM,Ciencia de Datos,MATCOM-CIE-0028,MA5,2025-2,5,6,4,5,8,9
MATCOM,Ciencia de Datos,MATCOM-CIE-0029,MA8,2025-2,5,8,7,6,8,8
MATCOM,Ciencia de Datos,MATCOM-CIE-0030,MA2,2025-2,6,8,7,4,8,4
MATCOM,Ciencia de Datos,MATCOM-CIE-0031,MA1,2025-2,4,8,8,7,8,8
MATCOM,Ciencia de Datos,MATCOM-CIE-0032,MA6,2025-2,8,9,6,6,8,8
MATCOM,Ciencia de Datos,MATCOM-CIE-0033,MA3,2025-2,5,7,4,5,4,5
MATCOM,Ciencia de Datos,MATCOM-CIE-0034,MA9,2025-2,6,6,8,7,8,5
MATCOM,Ciencia de Datos,MATCOM-CIE-0035,MA7,2025-2,8,4,6,7,7,4
MATCOM,Ciencia de Datos,MATCOM-CIE-0036,MA3,2025-2,6,4,4,6,8,8
MATCOM,Ciencia de Datos,MATCOM-CIE-0037,MA4,2025-2,7,6,5,6,6,4
MATCOM,Ciencia de Datos,MATCOM-CIE-0038,MA4,2025-2,4,8,8,8,5,5
MATCOM,Ciencia de Datos,MATCOM-CIE-0039,MA6,2025-2,7,8,5,6,8,6
MATCOM,Ciencia de Datos,MATCOM-CIE-0040,MA9,2025-2,9,5,7,9,5,8
MATCOM,Ciencia de Datos,MATCOM-CIE-0041,MA6,2025-2,5,7,5,9,5,6
MATCOM,Ciencia de Datos,MATCOM-CIE-0042,MA3,2025-2,6,6,6,6,9,8
MATCOM,Ciencia de Datos,MATCOM-CIE-0043,MA4,2025-2,4,9,9,8,4,4
MATCOM,Ciencia de Datos,MATCOM-CIE-0044,MA9,2025-2,8,7,9,4,4,5
MATCOM,Ciencia de Datos,MATCOM-CIE-0045,MA7,2025-2,5,9,5,5,8,6
MATCOM,Ciencia de Datos,MATCOM-CIE-0046,MA6,2025-2,4,6,4,4,9,5
MATCOM,Ciencia de Datos,MATCOM-CIE-0047,MA4,2025-2,6,8,4,5,8,7
MATCOM,Ciencia de Datos,MATCOM-CIE-0048,MA8,2025-2,7,9,4,6,5,8
MATCOM,Ciencia de Datos,MATCOM-CIE-0049,MA5,2025-2,5,7,5,7,6,9
MATCOM,Ciencia de Datos,MATCOM-CIE-0050,MA9,2025-2,5,4,8,6,4,7
MATCOM,Ciencia de Datos,MATCOM-CIE-0051,MA1,2025-2,7,5,8,8,4,8
MATCOM,Ciencia de Datos,MATCOM-CIE-0052,MA1,2025-2,7,5,8,6,5,7
MATCOM,Ciencia de Datos,MATCOM-CIE-0053,MA9,2025-2,7,6,6,7,7,4
MATCOM,Ciencia de Datos,MATCOM-CIE-0054,MA8,2025-2,5,6,9,8,6,6
MATCOM,Ciencia de Datos,MATCOM-CIE-0055,MA5,2025-2,5,6,8,7,5,8
MATCOM,Ciencia de Datos,MATCOM-CIE-0056,MA6,2025-2,5,5,9,7,8,7
MATCOM,Ciencia de Datos,MATCOM-CIE-0057,MA2,2025-2,4,6,9,7,6,5
MATCOM,Ciencia de Datos,MATCOM-CIE-0058,MA4,2025-2,6,6,4,6,5,5
MATCOM,Ciencia de Datos,MATCOM-CIE-0059,MA8,2025-2,5,8,7,7,8,6
MATCOM,Ciencia de Datos,MATCOM-CIE-0060,MA8,2025-2,7,6,7,5,7,6
MATCOM,Ciencia de Datos,MATCOM-CIE-0061,MA2,2025-2,5,7,7,4,6,8
MATCOM,Ciencia de Datos,MATCOM-CIE-0062,MA5,2025-2,6,7,4,8,8,7
MATCOM,Ciencia de Datos,MATCOM-CIE-0063,MA1,2025-2,6,9,7,7,5,8
MATCOM,Ciencia de Datos,MATCOM-CIE-0064,MA7,2025-2,5,7,4,4,8,5
MATCOM,Ciencia de Datos,MATCOM-CIE-0065,MA5,2025-2,9,6,5,9,5,8
MATCOM,Ciencia de Datos,MATCOM-CIE-0066,MA9,2025-2,6,8,6,6,6,8
MATCOM,Ciencia de Datos,MATCOM-CIE-0067,MA5,2025-2,5,4,8,6,9,8
MATCOM,Ciencia de Datos,MATCOM-CIE-0068,MA2,2025-2,8,7,7,6,8,6
MATCOM,Ciencia de Datos,MATCOM-CIE-0069,MA3,2025-2,4,8,5,6,4,7
MATCOM,Ciencia de Datos,MATCOM-CIE-0070,MA6,2025-2,8,5,8,5,7,7
MATCOM,Ciencia de Datos,MATCOM-CIE-0071,MA9,2025-2,5,6,4,8,6,8
