Facultad,Carrera,ID_Estudiante,Asignatura,Semestre,Nota,Créditos,Profesor
MATCOM,Matemática,MATCOM-MAT-0027,Programación,2025-2,3,2,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0027,Filosofía,2025-2,5,4,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0027,Idioma Inglés,2025-2,5,2,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0027,Educación Física,2025-2,4,2,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0027,Historia de Cuba,2025-2,4,4,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0028,Cálculo,2025-2,3,4,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0028,Álgebra,2025-2,5,2,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0028,Programación,2025-2,4,3,Prof. García
MATCOM,Matemática,MATCOM-MAT-0028,Metodología de la Investigación,2025-2,4,2,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0028,Educación Física,2025-2,4,4,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0028,Historia de Cuba,2025-2,3,2,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0028,Idioma Inglés,2025-2,4,3,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0029,Bases de Datos,2025-2,4,2,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0029,Estadística,2025-2,5,2,Prof. García
MATCOM,Matemática,MATCOM-MAT-0029,Álgebra,2025-2,4,3,Prof. García
MATCOM,Matemática,MATCOM-MAT-0029,Historia de Cuba,2025-2,2,4,Prof. García
MATCOM,Matemática,MATCOM-MAT-0029,Idioma Inglés,2025-2,2,4,Prof. García
MATCOM,Matemática,MATCOM-MAT-0029,Metodología de la Investigación,2025-2,5,2,Prof. García
MATCOM,Matemática,MATCOM-MAT-0030,Estadística,2025-2,3,4,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0030,Álgebra,2025-2,4,2,Prof. González
MATCOM,Matemática,MATCOM-MAT-0030,Bases de Datos,2025-2,5,3,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0030,Metodología de la Investigación,2025-2,4,4,Prof. González
MATCOM,Matemática,MATCOM-MAT-0030,Educación Física,2025-2,2,2,Prof. García
MATCOM,Matemática,MATCOM-MAT-0031,Álgebra,2025-2,3,4,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0031,Programación,2025-2,3,4,Prof. González
MATCOM,Matemática,MATCOM-MAT-0031,Cálculo,2025-2,3,2,Prof. García
MATCOM,Matemática,MATCOM-MAT-0031,Historia de Cuba,2025-2,3,2,Prof. González
MATCOM,Matemática,MATCOM-MAT-0031,Educación Física,2025-2,5,3,Prof. González
MATCOM,Matemática,MATCOM-MAT-0031,Filosofía,2025-2,3,2,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0031,Metodología de la Investigación,2025-2,3,4,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0032,Bases de Datos,2025-2,4,3,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0032,Estadística,2025-2,4,2,Prof. García
MATCOM,Matemática,MATCOM-MAT-0032,Programación,2025-2,5,4,Prof. González
MATCOM,Matemática,MATCOM-MAT-0032,Idioma Inglés,2025-2,2,4,Prof. González
MATCOM,Matemática,MATCOM-MAT-0032,Metodología de la Investigación,2025-2,3,4,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0032,Historia de Cuba,2025-2,3,4,Prof. González
MATCOM,Matemática,MATCOM-MAT-0033,Cálculo,2025-2,4,2,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0033,Programación,2025-2,3,4,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0033,Álgebra,2025-2,4,4,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0033,Educación Física,2025-2,3,4,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0033,Historia de Cuba,2025-2,4,3,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0033,Metodología de la Investigación,2025-2,4,2,Prof. García
MATCOM,Matemática,MATCOM-MAT-0034,Cálculo,2025-2,3,3,Prof. García
MATCOM,Matemática,MATCOM-MAT-0034,Álgebra,2025-2,4,2,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0034,Estadística,2025-2,3,3,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0034,Idioma Inglés,2025-2,4,2,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0034,Historia de Cuba,2025-2,3,2,Prof. González
MATCOM,Matemática,MATCOM-MAT-0034,Educación Física,2025-2,5,2,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0035,Álgebra,2025-2,3,2,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0035,Cálculo,2025-2,5,4,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0035,Estadística,2025-2,3,4,Prof. García
MATCOM,Matemática,MATCOM-MAT-0035,Idioma Inglés,2025-2,5,2,Prof. González
MATCOM,Matemática,MATCOM-MAT-0035,Educación Física,2025-2,4,2,Prof. García
MATCOM,Matemática,MATCOM-MAT-0036,Cálculo,2025-2,5,2,Prof. González
MATCOM,Matemática,MATCOM-MAT-0036,Programación,2025-2,4,2,Prof. García
MATCOM,Matemática,MATCOM-MAT-0036,Estadística,2025-2,5,2,Prof. González
MATCOM,Matemática,MATCOM-MAT-0036,Metodología de la Investigación,2025-2,3,3,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0036,Historia de Cuba,2025-2,4,2,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0036,Educación Física,2025-2,3,2,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0036,Idioma Inglés,2025-2,4,2,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0037,Estadística,2025-2,3,3,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0037,Álgebra,2025-2,5,3,Prof. González
MATCOM,Matemática,MATCOM-MAT-0037,Cálculo,2025-2,5,2,Prof. García
MATCOM,Matemática,MATCOM-MAT-0037,Metodología de la Investigación,2025-2,4,2,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0037,Educación Física,2025-2,3,4,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0037,Idioma Inglés,2025-2,4,4,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0038,Bases de Datos,2025-2,2,3,Prof. González
MATCOM,Matemática,MATCOM-MAT-0038,Cálculo,2025-2,4,4,Prof. García
MATCOM,Matemática,MATCOM-MAT-0038,Estadística,2025-2,5,2,Prof. García
MATCOM,Matemática,MATCOM-MAT-0038,Historia de Cuba,2025-2,2,2,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0038,Filosofía,2025-2,5,4,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0038,Idioma Inglés,2025-2,5,4,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0039,Programación,2025-2,4,3,Prof. García
MATCOM,Matemática,MATCOM-MAT-0039,Estadística,2025-2,4,3,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0039,Cálculo,2025-2,4,2,Prof. González
MATCOM,Matemática,MATCOM-MAT-0039,Educación Física,2025-2,4,3,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0039,Metodología de la Investigación,2025-2,5,3,Prof. García
MATCOM,Matemática,MATCOM-MAT-0039,Historia de Cuba,2025-2,5,2,Prof. González
MATCOM,Matemática,MATCOM-MAT-0040,Programación,2025-2,4,4,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0040,Cálculo,2025-2,3,3,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0040,Álgebra,2025-2,2,2,Prof. González
MATCOM,Matemática,MATCOM-MAT-0040,Educación Física,2025-2,4,2,Prof. García
MATCOM,Matemática,MATCOM-MAT-0040,Historia de Cuba,2025-2,4,4,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0040,Filosofía,2025-2,4,2,Prof. González
MATCOM,Matemática,MATCOM-MAT-0040,Idioma Inglés,2025-2,3,4,Prof. González
MATCOM,Matemática,MATCOM-MAT-0041,Estadística,2025-2,5,4,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0041,Álgebra,2025-2,5,4,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0041,Programación,2025-2,5,2,Prof. González
MATCOM,Matemática,MATCOM-MAT-0041,Educación Física,2025-2,5,2,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0041,Idioma Inglés,2025-2,4,3,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0041,Filosofía,2025-2,5,3,Prof. García
MATCOM,Matemática,MATCOM-MAT-0042,Estadística,2025-2,2,4,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0042,Bases de Datos,2025-2,3,2,Prof. García
MATCOM,Matemática,MATCOM-MAT-0042,Álgebra,2025-2,3,2,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0042,Historia de Cuba,2025-2,3,2,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0042,Filosofía,2025-2,5,2,Prof. González
MATCOM,Matemática,MATCOM-MAT-0042,Metodología de la Investigación,2025-2,4,4,Prof. González
MATCOM,Matemática,MATCOM-MAT-0042,Educación Física,2025-2,3,4,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0043,Álgebra,2025-2,4,2,Prof. García
MATCOM,Matemática,MATCOM-MAT-0043,Cálculo,2025-2,4,2,Prof. González
MATCOM,Matemática,MATCOM-MAT-0043,Programación,2025-2,3,3,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0043,Educación Física,2025-2,2,4,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0043,Metodología de la Investigación,2025-2,4,4,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0043,Idioma Inglés,2025-2,4,4,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0044,Estadística,2025-2,3,3,Prof. García
MATCOM,Matemática,MATCOM-MAT-0044,Bases de Datos,2025-2,4,3,Prof. González
MATCOM,Matemática,MATCOM-MAT-0044,Programación,2025-2,3,2,Prof. García
MATCOM,Matemática,MATCOM-MAT-0044,Historia de Cuba,2025-2,4,2,Prof. García
MATCOM,Matemática,MATCOM-MAT-0044,Filosofía,2025-2,5,3,Prof. García
MATCOM,Matemática,MATCOM-MAT-0044,Metodología de la Investigación,2025-2,3,4,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0045,Estadística,2025-2,3,3,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0045,Bases de Datos,2025-2,3,2,Prof. González
MATCOM,Matemática,MATCOM-MAT-0045,Álgebra,2025-2,4,3,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0045,Historia de Cuba,2025-2,4,2,Prof. García
MATCOM,Matemática,MATCOM-MAT-0045,Filosofía,2025-2,4,4,Prof. García
MATCOM,Matemática,MATCOM-MAT-0045,Educación Física,2025-2,4,3,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0045,Metodología de la Investigación,2025-2,2,2,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0046,Estadística,2025-2,4,4,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0046,Programación,2025-2,4,2,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0046,Cálculo,2025-2,5,4,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0046,Filosofía,2025-2,4,4,Prof. Pérez
MATCOM,Matemática,MATCOM-MAT-0046,Historia de Cuba,2025-2,4,2,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0046,Idioma Inglés,2025-2,5,4,Prof. González
MATCOM,Matemática,MATCOM-MAT-0047,Cálculo,2025-2,4,2,Prof. González
MATCOM,Matemática,MATCOM-MAT-0047,Álgebra,2025-2,5,3,Prof. González
MATCOM,Matemática,MATCOM-MAT-0047,Bases de Datos,2025-2,3,2,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0047,Idioma Inglés,2025-2,2,2,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0047,Historia de Cuba,2025-2,3,2,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0047,Metodología de la Investigación,2025-2,2,2,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0048,Álgebra,2025-2,4,4,Prof. Rodríguez
MATCOM,Matemática,MATCOM-MAT-0048,Cálculo,2025-2,5,2,Prof. García
MATCOM,Matemática,MATCOM-MAT-0048,Programación,2025-2,3,3,Prof. Martínez
MATCOM,Matemática,MATCOM-MAT-0048,Historia de Cuba,2025-2,3,3,Prof. González
MATCOM,Matemática,MATCOM-MAT-0048,Idioma Inglés,2025-2,5,3,Prof. González
MATCOM,Matemática,MATCOM-MAT-0048,Filosofía,2025-2,3,4,Prof. García
